,Source,Date,Text,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
70,@BBC,Tue Dec 12 08:37:40 +0000 2017,"RT @bbcpress: Danny Boyle directs Banksy’s #Alternativity performance for new @BBCTwo film, to be aired on 17 December: https://t.co/Yz6zoj…",0.0,0.0,1.0,0.0,71
71,@BBC,Tue Dec 12 08:37:09 +0000 2017,"RT @bbcstories: ""My background can never be my weakness.""
The daughters of sex workers, these girls grew up in Mumbai's red light district.…",0.0,0.0,1.0,0.0,72
72,@BBC,Tue Dec 12 08:37:01 +0000 2017,RT @BBC_Teach: SciTube is our brand new Primary Science series exploring the work of the world's most famous scientists through 'vlog-style…,0.0,0.0,1.0,0.0,73
73,@BBC,Tue Dec 12 08:36:40 +0000 2017,"RT @BBCOne: ? @mermhart, @NiallOfficial, Midnight Gameshow AND the most ambitious Unexpected Star surprise ever - it can only be #MichaelMc…",0.6697,0.244,0.756,0.0,74
74,@BBC,Tue Dec 12 08:36:18 +0000 2017,"RT @AboutTheBBC: We're saddened to hear of the passing of Keith Chegwin who was a presenter on Multi-Coloured Swap Shop, Cheggers Plays Pop…",-0.34,0.079,0.787,0.134,75
75,@BBC,Tue Dec 12 08:36:06 +0000 2017,"RT @BBCEarth: “We need to act now and we need to act together"" ?
#BluePlanet2 https://t.co/DcORM5aHkD",0.0,0.0,1.0,0.0,76
76,@BBC,Tue Dec 12 08:20:04 +0000 2017,"If Armageddon hit, and only one human couple was left, would they be enough to repopulate the planet? ??… https://t.co/wGv3fnkENp",0.0,0.0,1.0,0.0,77
77,@BBC,Tue Dec 12 08:00:03 +0000 2017,"The Scottish Crossbill, one of the country's most unique birds, is at threat of extinction. ??
Via @BBCScotland. https://t.co/w5UHkB5y6i",-0.5267,0.0,0.841,0.159,78
78,@BBC,Tue Dec 12 07:38:04 +0000 2017,Frida Kahlo &amp; Diego Rivera painted each other for 25 years. Those works give us an insight into their complex relat… https://t.co/GqYkKAWccJ,0.0,0.0,1.0,0.0,79
79,@BBC,Mon Dec 11 20:00:06 +0000 2017,Seven charts that explain the plastic pollution problem. ? https://t.co/lunEPtp1f1 https://t.co/T4zi0jF6zO,-0.4019,0.0,0.769,0.231,80
80,@BBC,Mon Dec 11 19:30:11 +0000 2017,"?? @Nigella_Lawson decamps to the countryside for her cosiest Christmas yet, against a backdrop of crackling log fi… https://t.co/fwrCQbIE3o",0.0,0.0,1.0,0.0,81
81,@BBC,Mon Dec 11 19:00:03 +0000 2017,??? Care home residents across the UK are decorating their walking frames as part of a project called #PimpMyZimmer… https://t.co/VDZz3ly5oG,0.4939,0.151,0.849,0.0,82
82,@BBC,Mon Dec 11 18:30:06 +0000 2017,"In the last 50,000 years, around 101 billion people have lived &amp; died on planet Earth. So what will we do with all… https://t.co/NpeQCCauhP",-0.5574,0.0,0.865,0.135,83
83,@BBC,Mon Dec 11 18:00:10 +0000 2017,"You might have listened to these songs for years, but do you actually know the lyrics to some on the most well-know… https://t.co/Y0B4avJabB",0.0,0.0,1.0,0.0,84
84,@BBC,Mon Dec 11 17:35:53 +0000 2017,A fictional short story called 'Cat Person' is being shared widely online as social media users discuss how much it… https://t.co/pPfEO5gQHQ,0.34,0.112,0.888,0.0,85
85,@BBC,Mon Dec 11 17:30:01 +0000 2017,"This amateur pianist amazed passers-by in Manchester with his dance music renditions. ?
Via @BBC5Live. https://t.co/tifSk25A6X",0.4939,0.186,0.814,0.0,86
86,@BBC,Mon Dec 11 17:21:48 +0000 2017,"RT @BBCRadio4: Exclusive first preview of the magical Anansi Boys. A little taste of our new @neilhimself drama, coming to you this Christm…",0.128,0.067,0.933,0.0,87
87,@BBC,Mon Dec 11 17:03:13 +0000 2017,"RT @TWBBC: Keith Chegwin, who has died aged 60, demonstrating the latest in baby feeding technology on the 1987 Tomorrow's World Christmas…",-0.5574,0.0,0.854,0.146,88
88,@BBC,Mon Dec 11 17:03:04 +0000 2017,'To infinity and beyond!' ? ? ? Toy Story is available on @BBCiPlayer now.  https://t.co/Nh0nXJd0Pc https://t.co/QngQwVmWzG,0.0,0.0,1.0,0.0,89
89,@BBC,Mon Dec 11 16:58:38 +0000 2017,RT @bbcwritersroom: The Miniaturist begins on @BBCOne on Boxing Day. We spoke to #screenwriter @JohnBrownlow about how he met the challenge…,0.0,0.0,1.0,0.0,90
90,@BBC,Mon Dec 11 16:57:18 +0000 2017,"RT @bbcmusic: ""I’ve poured my heart into my music""
@SelenaGomez popped into @R1Breakfast this morning ?
? https://t.co/hnFjtHhpRW https://t…",0.0,0.0,1.0,0.0,91
91,@BBC,Mon Dec 11 16:43:25 +0000 2017,"RT @CBeebiesHQ: Ready for an early Christmas present? ?

A week filled with NEW Bedtime Stories! ??

Starts tonight with @FloellaBenjamin a…",0.4199,0.128,0.872,0.0,92
92,@BBC,Mon Dec 11 16:14:33 +0000 2017,The nominations for the 75th annual Golden Globe Awards have been announced. Here's the full shortlist. ?… https://t.co/HxpWgQgbI9,0.4588,0.15,0.85,0.0,93
93,@BBC,Mon Dec 11 16:08:53 +0000 2017,Christopher Plummer has been nominated for a Golden Globe for the role in which he replaced Kevin Spacey.… https://t.co/wEaNVH6tcB,0.0,0.0,1.0,0.0,94
94,@BBC,Mon Dec 11 16:00:02 +0000 2017,"Scotland, looking so beautiful under a blanket of ice. ?
Via @BBCScotland. https://t.co/CHUXsO10hF",0.7177,0.333,0.667,0.0,95
95,@BBC,Mon Dec 11 15:54:56 +0000 2017,RT @bbcthree: Someone in the UK watched Bee Movie 357 times on Netflix in 2017 https://t.co/5ovfKX1TIa https://t.co/E8vAQlaEMF,0.0,0.0,1.0,0.0,96
96,@BBC,Mon Dec 11 15:30:07 +0000 2017,? @CalvinHarris is under pressure to remix the Spice Girls classic 2 become 1 after saying he'd do it if same-sex m… https://t.co/vm73kheGdN,-0.296,0.0,0.896,0.104,97
97,@BBC,Mon Dec 11 14:56:13 +0000 2017,"RT @bbcmusic: Watch an exclusive performance of @U2's classic 'All I Want Is You' now on @BBCiPlayer
U2 At The BBC: coming to @BBCOne 19/12…",0.2023,0.113,0.887,0.0,98
98,@BBC,Mon Dec 11 14:51:53 +0000 2017,"RT @bbcthree: ""THIS IS WHAT HAPPENS WHEN YOU CHUCK YOUR PLASTIC BAGS IN THE SEA"" 

@kuruptfm on #BluePlanet2. https://t.co/Icp7ZM6lxC",0.0,0.0,1.0,0.0,99
99,@BBC,Mon Dec 11 14:44:09 +0000 2017,"Veteran TV presenter Keith Chegwin has died aged 60 after a long illness, his family says. ???… https://t.co/BIjMIDsjGF",-0.743,0.0,0.704,0.296,100
100,@CBS,Wed Dec 13 23:20:01 +0000 2017,"So close, yet so far away. Which #Survivor Castaways Will Earn Their Spot In The Final Five? More:… https://t.co/efeBVa4p26",0.0,0.0,1.0,0.0,1
101,@CBS,Wed Dec 13 18:56:58 +0000 2017,RT @BandB_CBS: Take a walk down #BoldandBeautiful memory lane! RT your favorite #Steam moment. https://t.co/kxeD2br8Tc,0.5093,0.202,0.798,0.0,2
102,@CBS,Tue Dec 12 20:34:16 +0000 2017,"RT @thegoodfight: Court is back in session. Season 2 of #TheGoodFight premieres March 4, exclusively on CBS All Access: https://t.co/Niu5a8…",0.0,0.0,1.0,0.0,3
103,@CBS,Tue Dec 12 19:31:42 +0000 2017,?? Happy holidays from CBS! ??  #fullbobble https://t.co/Xef9fKoPTv,0.7644,0.524,0.476,0.0,4
104,@CBS,Tue Dec 12 19:04:59 +0000 2017,Only two weeks until The 40th Annual Kennedy Center Honors air on December 26! Look back on four decades of inspiri… https://t.co/z4J8sfs55V,0.5562,0.146,0.854,0.0,5
105,@CBS,Tue Dec 12 17:13:52 +0000 2017,"Mark your calendars! The 53rd Academy Of Country Music Awards will air Sunday, April 15 on CBS!… https://t.co/yYPc5rCiMW",0.555,0.174,0.826,0.0,6
106,@CBS,Mon Dec 11 21:29:33 +0000 2017,The search is on to find the pro football player with the best off-the-field talent! Vote for your favorite perform… https://t.co/musmVXrRJz,0.8832,0.364,0.636,0.0,7
107,@CBS,Mon Dec 11 19:05:21 +0000 2017,RT @MadamSecretary: No D.C. holiday party is complete without some political persuasion and a covert sting to bust a corrupt senator. ??? S…,0.4939,0.211,0.703,0.086,8
108,@CBS,Mon Dec 11 00:26:50 +0000 2017,"Due to NFL overrun, CBS is delayed 8 mins in the following ET &amp; CT markets: Hunstville, AL, Bowling Green, KY, MS,… https://t.co/gbwhgooEQd",-0.2263,0.0,0.917,0.083,9
109,@CBS,Mon Dec 11 00:25:54 +0000 2017,"Due to NFL overrun CBS is delayed 7 mins in the following ET &amp; CT markets Tampa, Chicago, Maryland, Michigan, Wash… https://t.co/driVgCiX7D",-0.2263,0.0,0.913,0.087,10
110,@CBS,Sun Dec 10 22:49:02 +0000 2017,"RT @NoActivityCBS: If you want the intel, you get the tickles. ? Stream the first 5 episodes of #NoActivity now: https://t.co/Wzq9bVOhGN ht…",0.0772,0.064,0.936,0.0,11
111,@CBS,Sun Dec 10 22:48:46 +0000 2017,RT @startrekcbs: .@albinokid and @wcruz73 are breaking new ground in #StarTrekDiscovery. ???? Stream chapter 1 on CBS All Access: https://t…,0.0,0.0,1.0,0.0,12
112,@CBS,Sat Dec 09 18:24:37 +0000 2017,Don’t miss America’s Game! Stream the Army-Navy game LIVE today at 3PM ET with a FREE trial of #CBSAllAccess:… https://t.co/38udnQj2vs,0.5754,0.189,0.742,0.07,13
113,@CBS,Sat Dec 09 01:11:51 +0000 2017,"There's still time before we have to say so long! Catch up with Carol Burnett, her original castmates and special g… https://t.co/WTiK8dzaXO",0.6476,0.209,0.791,0.0,14
114,@CBS,Fri Dec 08 23:35:41 +0000 2017,RT @bigbangtheory: It's the biggest best friend breakup of the year... ? Stream the latest full episode of #BigBangTheory: https://t.co/iIw…,0.8126,0.303,0.697,0.0,15
115,@CBS,Thu Dec 07 18:23:03 +0000 2017,"RT @AmazingRaceCBS: Presenting... the 30th cast of the #AmazingRace! Made up of champions and winners, this is quite literally the most com…",0.7777,0.254,0.746,0.0,16
116,@CBS,Thu Dec 07 12:07:06 +0000 2017,Do you know all the nominees for Song Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of Mu… https://t.co/I6hhOtfQjb,0.5423,0.137,0.863,0.0,17
117,@CBS,Wed Dec 06 17:32:28 +0000 2017,"A new Twilight Zone original series is coming exclusively to CBS All Access in association with @JordanPeele,… https://t.co/fVYnhUASee",0.3182,0.126,0.874,0.0,18
118,@CBS,Tue Dec 05 19:21:31 +0000 2017,RT @SuperiorDonuts: You'll want to check this box! ?? Stream the latest episode of #SuperiorDonuts: https://t.co/h1xhKLCAPl https://t.co/d8…,0.1511,0.09,0.91,0.0,19
119,@CBS,Tue Dec 05 19:14:00 +0000 2017,RT @YoungSheldon: Wondering what it's like behind the scenes of #YoungSheldon? Let star @OfficialRaeganR take you on a tour of the set! htt…,0.4199,0.117,0.883,0.0,20
120,@CBS,Tue Dec 05 00:54:16 +0000 2017,The Kennedy Center Honors recognizes the lifetime contributions of all types of performance artists. Watch the 40th… https://t.co/azF3rW2ptw,0.5106,0.163,0.837,0.0,21
121,@CBS,Tue Dec 05 00:03:06 +0000 2017,RT @YoungSheldon: There's something @elonmusk never told you about @spacex's Falcon 9. ?  #YoungSheldon https://t.co/bu3W0IC8zN,0.0,0.0,1.0,0.0,22
122,@CBS,Mon Dec 04 20:52:31 +0000 2017,"Just like old times, Carol Burnett bumps up the lights and answers questions from the audience. Catch up on The Car… https://t.co/9r7WI8d1tZ",0.3612,0.106,0.894,0.0,23
123,@CBS,Mon Dec 04 19:22:07 +0000 2017,Star comedian @JimCarrey gets emotional when he expresses his heartfelt thanks to Carol Burnett for her positive in… https://t.co/5QCejBcg5T,0.9217,0.504,0.496,0.0,24
124,@CBS,Mon Dec 04 07:14:06 +0000 2017,Take a trip down memory lane with Carol Burnett for a special tribute you'll never forget. Catch up on The Carol Bu… https://t.co/XBINDav614,0.5213,0.187,0.813,0.0,25
125,@CBS,Mon Dec 04 03:02:00 +0000 2017,"RT @JLawlorNY: So, ok...maybe I'm crying at at the #CarolBurnett50 finale with everyone singing her theme song! #ImSoGladWeHadThisTimeToget…",-0.5655,0.0,0.823,0.177,26
126,@CBS,Mon Dec 04 03:01:09 +0000 2017,RT @junerenee: A true classic and favorite!! Love #CarolBurnett50 laughed and cried...just like before!,0.9466,0.672,0.328,0.0,27
127,@CBS,Mon Dec 04 02:51:35 +0000 2017,RT if you’ve loved reliving these classic moments during #CarolBurnett50 https://t.co/I1tIWeSlsQ,0.5994,0.281,0.719,0.0,28
